ранг,слово,частота,доля_%,накопит_%,перевод_на_русский,часть_речи,лемма_основа,примечание
324,кайрадан,142,0.0374,37.37,"снова, опять",наречие,кайрадан,наречие повторности
325,чаап,142,0.0374,37.407,скача; рубанув,деепричастие,чап-,деепр. от «чап-»
326,отурган,142,0.0374,37.445,"сидящий, сидевший",причастие,отур-,прич. от «отур-»
327,бирде,142,0.0374,37.482,однажды; то…,наречие,бирде,
328,окшойт,141,0.0371,37.519,"похоже, кажется",глагол,окшо-,аорист «окшо-»; модальн.
329,кеп,141,0.0371,37.556,"слово, разговор",существительное,кеп,
330,жигит,141,0.0371,37.593,"парень, джигит",существительное,жигит,
331,жамийла,140,0.0369,37.63,Джамиля,имя собственное,Жамийла,героиня повести «Джамиля»
332,катары,139,0.0366,37.667,"как, в качестве; ряд",послелог / существительное,катар,
333,нары,138,0.0363,37.703,"туда, дальше",наречие,нары,наречие места
334,жанагы,138,0.0363,37.74,тот (недавний),местоимение,жанагы,анафор. местоимение
335,мурда,138,0.0363,37.776,"раньше, прежде",наречие / послелог,мурда,временное наречие
336,алиман,138,0.0363,37.812,Алиман,имя собственное,Алиман,героиня «Материнского поля»
337,бизди,137,0.0361,37.848,нас,местоимение,биз,вин. падеж от «биз»
338,деңиз,137,0.0361,37.884,море,существительное,деңиз,
339,адамдар,136,0.0358,37.92,люди,существительное,адам,мн. ч. от «адам»
340,эртең,136,0.0358,37.956,завтра; утром,наречие,эртең,временное наречие
341,алда,136,0.0358,37.992,"ох, ну и (усилит.)",частица / междометие,алда,усилит. частица
342,калдым,136,0.0358,38.028,я остался,глагол,кал-,прош. вр. «кал-» 1 л. ед.
343,келгенде,134,0.0353,38.063,когда пришёл,деепричастие (форма),кел-,условно-врем. форма «кел-»
344,билет,134,0.0353,38.098,знает,глагол,бил-,аорист «бил-»; омоним сущ. «билет»
345,жанында,134,0.0353,38.133,"рядом, возле",послелог,жан,мест. падеж от «жан»
346,отурду,134,0.0353,38.169,сел; сидел,глагол,отур-,прош. вр. «отур-»
347,орган,134,0.0353,38.204,Орган,имя собственное,Орган,"старик Орган, «Пегий пёс…»; омоним «орган»"
348,акбара,134,0.0353,38.239,Акбара,имя собственное,Акбара,волчица в романе «Плаха»
349,жарык,133,0.035,38.274,свет; светлый,существительное / прилагательное,жарык,
350,үстүнө,133,0.035,38.309,"на, поверх",послелог,үст,дат. падеж от «үст»
351,асел,133,0.035,38.344,Асель,имя собственное,Асел,героиня «Тополька моего в красной косынке»
352,роберт,133,0.035,38.379,Роберт,имя собственное,Роберт,персонаж
353,эне,132,0.0347,38.414,мать,существительное,эне,термин родства
354,өзүнчө,132,0.0347,38.449,"отдельно, сам по себе",наречие / местоимение,өз,
355,көздөй,132,0.0347,38.483,"в сторону, к",послелог,көздөй,послелог направления
356,үстүндө,130,0.0342,38.518,"на, над",послелог,үст,мест. падеж от «үст»
357,жүрдү,130,0.0342,38.552,"ходил, жил",глагол,жүр-,прош. вр. «жүр-»
358,кереги,130,0.0342,38.586,надобность в нём,существительное (форма),керек,притяж. форма «керек»
359,түнү,130,0.0342,38.62,ночью,существительное (форма),түн,временная форма «түн»
360,ишке,129,0.034,38.654,на работу; в дело,существительное (форма),иш,дат. падеж от «иш»
361,топ,129,0.034,38.688,"группа, толпа; мяч",существительное,топ,омонимы
362,калың,129,0.034,38.722,"густой, толстый; калым",прилагательное / существительное,калың,омонимы
363,сыяктуу,128,0.0337,38.756,"подобно, как",послелог / прилагательное,сыяктуу,послелог сравнения
364,жолдо,128,0.0337,38.79,"в пути, на дороге",существительное (форма),жол,мест. падеж от «жол»
365,төрт,128,0.0337,38.823,четыре,числительное,төрт,
366,дүйнө,127,0.0334,38.857,"мир, вселенная",существительное,дүйнө,
367,кызыл,127,0.0334,38.89,красный,прилагательное,кызыл,
368,кимге,127,0.0334,38.924,кому,местоимение,ким,дат. падеж от «ким»
369,күч,127,0.0334,38.957,сила,существительное,күч,
370,алыс,127,0.0334,38.99,"далёкий, далеко",прилагательное / наречие,алыс,
371,дейм,127,0.0334,39.024,я говорю,глагол,де-,аорист «де-» 1 л. ед.
372,араң,127,0.0334,39.057,"еле, с трудом",наречие,араң,
373,кандайдыр,126,0.0332,39.09,какой-то,местоимение,кандайдыр,неопр. местоимение
374,ачып,126,0.0332,39.124,открыв,деепричастие,ач-,деепр. от «ач-»
375,издеп,126,0.0332,39.157,"ища, разыскивая",деепричастие,изде-,деепр. от «изде-»
376,демек,126,0.0332,39.19,"значит, стало быть",вводное / союз,демек,
377,колун,125,0.0329,39.223,его руку,существительное (форма),кол,вин./притяж. от «кол»
378,эмнеге,125,0.0329,39.256,"зачем, почему",местоимение / наречие,эмне,дат. падеж от «эмне»
379,баса,124,0.0326,39.288,нажимая; кстати,деепричастие / частица,бас-,деепр.; вводн. «кстати»
380,аларды,124,0.0326,39.321,их,местоимение,алар,вин. падеж от «алар»
381,айткан,123,0.0324,39.353,сказавший; сказанный,причастие,айт-,прич. от «айт-»
382,ошого,123,0.0324,39.386,поэтому; тому,местоимение,ошол,дат. падеж от «ошол»
383,боюнча,122,0.0321,39.418,"по, согласно",послелог,боюнча,послелог соответствия
384,баарынан,122,0.0321,39.45,из всех; чем все,местоимение,баары,исх. падеж от «баары»
385,аябай,122,0.0321,39.482,"очень, сильно; не жалея",деепричастие / наречие,ая-,отриц. деепр. «ая-»
386,жолго,122,0.0321,39.514,"в путь, на дорогу",существительное (форма),жол,дат. падеж от «жол»
387,чоро,122,0.0321,39.546,Чоро,имя собственное,Чоро,"персонаж «Прощай, Гульсары»"
388,көпкө,121,0.0318,39.578,"надолго, долго",наречие,көп,дат. падеж от «көп»
389,билбей,121,0.0318,39.61,не зная,деепричастие,бил-,отриц. деепр. «бил-»
390,ушуну,121,0.0318,39.642,"это, этого",местоимение,ушул,вин. падеж от «ушу/ушул»
391,данияр,121,0.0318,39.674,Данияр,имя собственное,Данияр,герой повести «Джамиля»
392,угуп,121,0.0318,39.706,"услышав, слыша",деепричастие,ук-,деепр. от «ук-» (слышать)
393,эптеп,120,0.0316,39.737,"кое-как, с трудом",наречие / деепричастие,эпте-,деепр. от «эпте-»
394,базарбай,120,0.0316,39.769,Базарбай,имя собственное,Базарбай,персонаж романа «Плаха»
395,пайда,119,0.0313,39.8,польза; появление,существительное,пайда,омонимы: «польза» и «возникновение»
396,үстүнөн,119,0.0313,39.831,сверху; через,послелог,үст,исх. падеж от «үст»
397,албайт,119,0.0313,39.863,не может; не возьмёт,глагол,ал-,отриц. аорист «ал-»
398,сүзүп,119,0.0313,39.894,плывя; бодая,деепричастие,сүз-,деепр. от «сүз-» (плыть/бодать)
399,дүйшөн,119,0.0313,39.925,Дюйшен,имя собственное,Дүйшөн,герой повести «Первый учитель»
400,ээ,118,0.0311,39.956,"хозяин, владелец; ага!",существительное / междометие,ээ,омонимы
